player_id,nationality,date_of_birth,shirt_number
65,Croatia,1994-05-06,8
88,Switzerland,1991-12-20,5
157,Jamaica,1997-08-09,31
171,Germany,1999-06-11,29
304,Germany,1993-02-09,11
612,Democratic Republic of the Congo,1996-09-03,9
641,France,1997-06-28,14
788,Haiti,1998-06-27,27
813,France,1998-03-11,4
846,France,1997-11-18,21
1299,Brazil,1996-02-13,13
1331,Brazil,1997-12-10,1
1684,Brazil,1997-11-16,39
1731,Italy,1999-02-25,25
1775,Serbia,1997-10-12,31
1780,Italy,1997-10-25,14
1795,Brazil,1992-10-02,1
1836,Belgium,1995-12-05,21
2041,Uruguay,1997-06-25,30
2074,Portugal,2000-03-09,7
2253,Denmark,1996-05-31,5
2563,Italy,2000-05-08,8
3086,Italy,1996-10-07,1
3141,Argentina,1992-09-02,23
3174,Germany,1992-03-04,1
3189,Spain,1994-10-03,13
3199,Spain,1996-06-22,16
3236,Brazil,1997-04-03,9
3257,Portugal,1994-09-08,8
3269,Japan,1993-02-09,3
3305,Mexico,1991-05-05,7
3309,England,1994-03-07,1
3310,England,1992-04-19,1
3311,England,1990-05-28,2
3312,England,1990-09-19,2
3316,England,1992-11-19,6
3320,England,1990-06-17,6
3326,England,1993-03-05,5
3327,England,1997-02-03,4
3328,England,1990-11-26,18
3354,South Korea,1996-01-26,11
3357,France,1993-02-27,23
3359,France,1993-07-20,12
3386,Nigeria,1996-10-08,34
3392,Nigeria,1996-05-03,17
3477,Switzerland,1992-09-27,34
3492,Sweden,1994-07-17,3
3638,Senegal,1998-02-25,7
3643,Belgium,1992-02-26,26
3658,Belgium,1997-05-07,8
3737,Colombia,1994-10-25,8
3884,England,1993-03-25,31
3895,England,1995-09-10,18
3927,United States,1997-08-08,33
3959,England,2000-05-18,30
3965,Scotland,1991-01-20,10
3974,Denmark,2000-11-21,33
3992,England,1996-11-23,10
3995,England,1995-01-27,6
3999,England,1998-12-03,10
4032,England,1998-06-29,10
4091,England,2000-01-27,10
4146,Netherlands,1999-08-11,5
4184,England,2000-07-27,2
4220,England,1996-11-20,17
4321,Wales,1997-07-08,7
4334,Jamaica,1993-05-29,5
4417,Ghana,2000-01-07,42
4418,England,1993-07-13,25
4426,Jamaica,1997-07-08,3
4444,England,1995-12-30,11
4832,Spain,1995-09-15,1
4863,England,1997-02-10,9
4870,England,1992-05-09,33
4955,England,1997-10-30,8
5224,England,1995-05-06,29
5435,England,1997-11-21,22
5457,England,1997-03-12,1
5613,England,1998-02-23,24
5714,Wales,1997-10-22,6
6154,England,1997-10-08,4
6259,England,1994-11-21,13
6317,England,1997-10-23,4
6396,England,1999-03-22,16
6486,Sweden,1999-09-21,9
6655,Austria,1998-09-19,4
6716,Japan,1996-08-05,18
7427,Norway,1998-12-17,8
7459,Netherlands,1999-05-07,18
7549,Netherlands,1999-08-12,4
7553,Morocco,1997-11-14,3
7561,Netherlands,1999-05-05,19
7599,England,1999-01-10,7
7675,Netherlands,1991-03-10,40
7696,Netherlands,1998-07-29,4
7720,Netherlands,2001-12-20,4
7789,Greece,1997-12-11,15
7796,England,1998-10-23,10
7798,England,1999-08-20,28
7799,England,1999-12-10,11
7800,England,1999-05-30,9
7810,England,1999-07-05,23
7815,Wales,2000-09-14,4
7816,England,2000-11-07,7
7817,England,1993-12-05,6
7829,England,1993-01-11,5
7839,England,1997-03-16,9
7862,England,1997-05-23,2
7863,England,1991-04-05,17
7868,Scotland,1994-03-11,26
7869,Netherlands,1991-07-08,4
7873,England,2001-01-30,17
7878,England,1997-09-14,19
7880,England,1997-09-24,4
7888,England,2000-05-28,47
7892,Germany,1998-12-14,14
7898,England,1995-07-12,23
7913,Wales,1990-10-08,26
7914,Slovakia,1989-01-15,1
7934,England,1995-02-24,23
7935,Spain,1996-06-22,23
7974,Wales,1997-11-10,7
7985,England,1997-10-02,18
7994,Wales,1993-04-24,33
7995,England,1997-04-13,2
8057,New Zealand,1991-12-07,11
8076,England,1997-12-09,11
8088,England,1994-11-01,20
8124,England,1995-04-17,19
8133,Brazil,1997-05-10,9
8158,Democratic Republic of the Congo,1997-11-26,29
8203,England,1993-09-16,25
8204,Democratic Republic of the Congo,1993-11-07,26
8215,England,1999-01-14,41
8217,Republic of Ireland,1996-04-07,24
8231,England,1991-04-29,15
8235,England,1993-03-13,5
8251,England,1992-02-27,9
8259,England,1991-11-21,5
8273,Germany,1991-06-15,30
8279,Sweden,1998-06-04,14
8296,Morocco,1997-01-09,31
8307,Ivory Coast,1997-12-02,6
8346,France,1999-11-23,44
8371,France,1997-11-01,20
8420,Argentina,1993-01-19,44
8460,Netherlands,1995-10-09,2
8545,France,2000-12-17,29
8626,Cameroon,1999-08-07,19
8642,Algeria,2001-06-06,21
8847,Belgium,1999-03-22,23
8973,Norway,1998-02-14,16
9218,Nigeria,1997-08-12,9
9405,Denmark,1998-09-19,7
9869,Turkey,1999-10-07,24
10000,Germany,1998-05-10,27
10183,Portugal,1997-05-14,3
10194,Denmark,1996-01-01,8
10208,Croatia,1998-01-21,24
10653,Brazil,1996-08-14,7
10761,Austria,1997-07-07,18
10777,Brazil,1998-02-07,3
11298,England,1997-01-10,4
11414,England,1996-12-20,20
11623,England,1999-11-22,7
11629,England,1997-03-04,28
11644,Poland,1997-08-07,2
11777,Wales,1997-03-22,8
15742,Czech Republic,1995-02-27,28
15899,Portugal,1993-01-17,1
15905,Portugal,1999-03-18,2
16058,Switzerland,2000-05-24,19
16068,Norway,1998-04-17,20
16165,Ukraine,1999-05-29,16
16347,Hungary,2000-10-25,8
19334,Germany,2003-05-03,7
22010,Colombia,1996-05-26,2
23128,Brazil,1997-12-19,6
