entity_type,alias,entity_id
team,aja,519
team,asm,548
team,fcl,525
team,fcm,545
team,fcn,543
team,hac,533
team,losc,521
team,ogcn,522
team,om,516
team,psg,524
team,pfc,1045
team,rcl,546
team,rcs,576
team,sb29,512
team,srfc,529
team,tfc,511
team,afcb,1044
team,gunners,57
team,avfc,58
team,bha,397
team,cfc,61
team,cpfc,354
team,efc,62
team,ffc,63
team,lufc,341
team,lfc,64
team,man city,65
team,man c,65
team,mcfc,65
team,citizens,65
team,man u,66
team,man utd,66
team,man united,66
team,mu,66
team,mufc,66
team,nufc,67
team,toon,67
team,nffc,351
team,safc,71
team,spurs,73
team,thfc,73
team,whufc,563
team,hammers,563
team,wolves,76
team,wwfc,76
player,mo salah,100001250
player,vvd,7869
player,gigio,1731
player,kvaradona,100007453
player,cold palmer,144892
