understat_id,player_name,team_id,team_name
12850,Esteban Lepaul,529,Rennes
8706,Eberechi Eze,57,Arsenal
11816,Abakar Sylla,543,Nantes
900,Adama Traore,63,Fulham
11363,Antoine Semenyo,65,Manchester City
10760,Brennan Johnson,354,Crystal Palace
9632,Deiver Machado,543,Nantes
6122,Douglas Luiz,351,Nottingham Forest
8006,Evann Guessand,354,Crystal Palace
11362,Facundo Buonanotte,341,Leeds
4941,Hans Hateboer,523,Lyon
7546,Harvey Elliott,58,Aston Villa
10923,Himad Abdelli,516,Marseille
843,James Ward-Prowse,328,Burnley
11070,Jorgen Strand Larsen,354,Crystal Palace
10581,Junior Mwanga,576,Strasbourg
12376,Lucas Michal,545,Metz
7603,Marc Guehi,65,Manchester City
11633,Marc Guiu,61,Chelsea
12330,Noah Edjouma,521,Lille
11903,Oscar Bobb,63,Fulham
5619,Pierre Lees-Melou,1045,Paris FC
13577,Rudy Matondo,1045,Paris FC
12573,Tyrique George,62,Everton
